,ksat,kmin,kdry,mysat,rsat,kmin_fls
30,5709058271.187615,30334566732.50262,5223635521.945244,4728737865.823072,2158.90588384547,30924815572.96412
31,7914433052.371897,30334566732.50262,7368633157.420658,6451165025.068979,2284.10942422677,30924815572.96412
32,7630549583.39943,30334566732.50262,7090434404.440802,6228455581.073164,2270.6698578253627,30924815572.96412
33,12785668095.584484,30334566732.50262,12173018108.264605,10259315818.133196,2444.7931605093117,30924815572.96412
34,7902042027.494693,30334566732.50262,7353687977.133886,6438950434.356768,2283.635106307605,30924815572.96412
35,7076995851.297715,30334566732.50262,6547984337.78525,5793442394.197647,2242.536322418478,30924815572.96412
36,10746393791.493904,30334566732.50262,10146453122.538027,8660957852.78897,2390.457632228461,30924815572.96412
37,9670174028.167498,30334566732.50262,9084287592.964123,7818444169.575342,2355.2795586319066,30924815572.96412
38,24706241306.598038,30334566732.50262,24335802777.067654,19603189135.050747,2608.791261601017,30924815572.96412
39,7314019335.3934555,30334566732.50262,6775237358.024877,5975335058.28043,2255.0994761042043,30924815572.96412
40,8680438435.117067,30334566732.50262,8109530695.152189,7042135160.237083,2317.7646194487797,30924815572.96412
41,16643935560.808605,30334566732.50262,16038218780.27779,13273532414.934893,2518.619677329034,30924815572.96412
42,9893282789.038342,30334566732.50262,9298784856.868883,7988394867.895454,2363.1666871511898,30924815572.96412
43,10961321864.487806,30334566732.50262,10351564770.078468,8822634241.759064,2397.072376785474,30924815572.96412
44,23972282981.75844,30334566732.50262,23564833779.342793,19022787455.523422,2602.7675774480203,30924815572.96412
45,7788683833.9982195,30334566732.50262,7232613261.351838,6341122164.037422,2278.6877679146855,30924815572.96412
46,21149504119.306484,30334566732.50262,20635471721.990578,16803696858.346388,2576.1792150728215,30924815572.96412
47,7334363170.798864,30334566732.50262,6787713512.645454,5984632404.704681,2256.413790622202,30924815572.96412
48,18126344696.632923,30334566732.50262,17535627239.143837,14429459964.846357,2540.2168733272283,30924815572.96412
49,6209633990.182733,30334566732.50262,5692743354.765297,5104969978.340669,2192.7060488652555,30924815572.96412
50,21508392454.153713,30334566732.50262,21002191495.84459,17082497906.373848,2579.9287134809356,30924815572.96412
51,6576856496.791751,30334566732.50262,6047341017.445406,5390004401.125633,2215.0766463453156,30924815572.96412
52,23587822911.024727,30334566732.50262,23157895210.891567,18715464458.86808,2599.526332765481,30924815572.96412
53,8764099554.218157,30334566732.50262,8178761882.010023,7096194797.966845,2321.567311511173,30924815572.96412
54,28547745618.98818,30334566732.50262,28381061784.994656,22619960632.53026,2636.1434520196267,30924815572.96412
55,8688637236.293428,30334566732.50262,8102889132.910078,7035507856.400745,2318.5634573853595,30924815572.96412
56,6640138572.012197,30334566732.50262,6104382315.262857,5435404044.884549,2218.9382847153925,30924815572.96412
57,10514671467.525112,30334566732.50262,9895759210.259993,8460559192.235235,2383.8865524352673,30924815572.96412
58,7337867837.830238,30334566732.50262,6781022969.393913,5978292238.366697,2256.9598173001427,30924815572.96412
59,6619590499.49704,30334566732.50262,6081785360.847832,5416976107.4737,2217.8485715129405,30924815572.96412
60,9415700290.7915,30334566732.50262,8810927748.319666,7599049470.380869,2346.81069359125,30924815572.96412
61,5909115231.450136,30334566732.50262,5391402417.758991,4861223301.726309,2173.666205047826,30924815572.96412
62,13553409438.396103,30334566732.50262,12907444270.207802,10832930273.422676,2462.6492581615566,30924815572.96412
63,5648598111.2632475,30334566732.50262,5137753252.407808,4656558413.318966,2155.892713609477,30924815572.96412
64,12865554467.8113,30334566732.50262,12218987258.523079,10292666465.895222,2447.363968418977,30924815572.96412
65,14818992365.70221,30334566732.50262,14172063572.628567,11821160193.038794,2487.997392087748,30924815572.96412
66,6348266483.821731,30334566732.50262,5812471754.422541,5199794251.328564,2201.9010049255007,30924815572.96412
67,5151028826.7969675,30334566732.50262,4654090544.652605,4265732070.4331813,2119.1573160471135,30924815572.96412
68,12852961537.895174,30334566732.50262,12202096822.726599,10279034660.29461,2447.1609670556927,30924815572.96412
69,7036817396.288601,30334566732.50262,6478134681.2068615,5734378202.298962,2241.5333623689758,30924815572.96412
70,24760181034.957005,30334566732.50262,24370334926.416058,19627402589.551476,2609.4374725464413,30924815572.96412
71,13421489422.069859,30334566732.50262,12765845515.136345,10721142780.255758,2459.9947125882713,30924815572.96412
72,5971390163.227602,30334566732.50262,5442383059.69206,4901304755.268528,2178.1763571012884,30924815572.96412
73,6743741617.514575,30334566732.50262,6189907500.5602,5502592141.504278,2225.455254498497,30924815572.96412
74,13310542121.032103,30334566732.50262,12651812109.969568,10631458281.543602,2457.633004816036,30924815572.96412
75,8720912327.278837,30334566732.50262,8114907650.361057,7043283449.1012535,2320.4774130573533,30924815572.96412
76,8765152151.007986,30334566732.50262,8157224252.392405,7076939414.216212,2322.2970414019564,30924815572.96412
77,23343644339.39312,30334566732.50262,22883706094.595993,18506860971.19554,2597.58594594915,30924815572.96412
78,5631178747.530329,30334566732.50262,5108541424.31909,4631631564.070186,2155.186948179816,30924815572.96412
79,23027384341.849644,30334566732.50262,22552505543.86805,18256354992.395584,2594.7762673742845,30924815572.96412
80,7346633120.522489,30334566732.50262,6769351888.154176,5966944918.604235,2258.1180717551742,30924815572.96412
81,10395415205.530615,30334566732.50262,9753240994.696117,8345418708.6825075,2380.764663578929,30924815572.96412
82,5615842175.756482,30334566732.50262,5090438338.860986,4616660201.448967,2154.2391297065674,30924815572.96412
83,5420150113.3522625,30334566732.50262,4900789794.903359,4463518861.509861,2140.1355751271362,30924815572.96412
84,9740309302.458132,30334566732.50262,9105522605.018147,7831071791.725918,2359.065037248962,30924815572.96412
85,12896854653.686998,30334566732.50262,12227333929.619808,10297288712.330332,2448.551189413197,30924815572.96412
86,9281716527.806553,30334566732.50262,8653365185.125257,7471290462.088586,2342.6043931509726,30924815572.96412
87,19925139457.72399,30334566732.50262,19335837030.771053,15808370342.66904,2563.193692027927,30924815572.96412
88,25736527450.62528,30334566732.50262,25385637763.83831,20388048212.138676,2617.0849585025776,30924815572.96412
89,6035126631.219678,30334566732.50262,5489635276.193598,4937808957.041401,2182.919048134001,30924815572.96412
90,7046901969.258045,30334566732.50262,6468972010.54793,5725101505.365391,2242.752299949556,30924815572.96412
91,7785015915.534443,30334566732.50262,7185825301.226027,6299512757.660086,2279.967635168211,30924815572.96412
92,21884391366.787968,30334566732.50262,21353534632.311802,17346512665.610252,2584.114258053231,30924815572.96412
93,14213317101.1592,30334566732.50262,13533715254.456139,11320189803.10037,2476.889345569984,30924815572.96412
94,12130612042.783566,30334566732.50262,11455623476.520803,9689424960.603256,2430.246243879334,30924815572.96412
95,17767516906.953762,30334566732.50262,17120832895.114534,14105687407.333965,2535.984516107592,30924815572.96412
96,5582588770.865708,30334566732.50262,4971675931.943267,4510400819.3466835,2155.118394191256,30924815572.96412
97,16495441726.48423,30334566732.50262,15724428495.98571,13016113384.174606,2518.748321545366,30924815572.96412
98,7983039963.584581,30334566732.50262,7281213626.121323,6365587086.747405,2292.0788935081896,30924815572.96412
99,6380059473.368904,30334566732.50262,5729976462.428555,5120607919.189404,2207.8367326768516,30924815572.96412
